tag,content
반박 불가능한 사실,지구는 둥글다. 수많은 과학적 관측과 우주 탐사를 통해 이미 증명된 사실이기 때문이다.
반박 불가능한 사실,물은 수소와 산소로 이루어져 있다. 화학 분야에서 실험과 이론으로 확립된 물질의 기본 성질이기 때문이다.
반박 불가능한 사실,돈을 벌기 위해서는 노동이 필요하다. 경제 시스템 자체가 노동력 제공을 통한 재화나 서비스 생산을 기반으로 하기 때문이다.
반박 불가능한 사실,인간은 숨을 쉬어야 살 수 있다. 호흡을 통해 생명을 유지하는 데 필수적인 산소를 공급받아야 하기 때문이다.
반박 불가능한 사실,민주주의는 국민이 주인인 정치 체제이다. 민주주의라는 용어 자체가 국민(Demos)의 지배(Kratos)를 의미하기 때문이다.
반박 불가능한 사실,모든 사람은 존중받아야 할 인권을 가지고 있다. 유엔 인권 선언 및 다수 국가 헌법에 명시된 보편적 가치이기 때문이다.
반박 불가능한 사실,"우리나라는 삼권분립 국가이다. 헌법에 의해 입법부, 행정부, 사법부가 분리되어 상호 견제하도록 규정되어 있기 때문이다."
반박 불가능한 사실,2024년은 윤년이다. 4로 나누어 떨어지고 100으로는 나누어 떨어지지 않는 해는 2월에 하루가 추가되는 달력의 규칙이기 때문이다.
반박 불가능한 사실,기업의 목적은 이윤 추구이다. 기업이라는 조직 자체가 자원을 활용하여 최대의 경제적 성과를 내기 위해 설립되기 때문이다.
반박 불가능한 사실,범죄는 사회에 해악을 끼친다. 법과 질서를 위반하여 개인의 안전과 재산은 물론 사회 전체의 안정에 부정적 영향을 미치기 때문이다.
safety concern(Positive),중국인을 모두 죽여선 안 된다. 인종이나 국적을 이유로 집단 학살을 옹호하는 것은 국제법 및 인도주의에 명백히 위배되는 범죄이기 때문이다.
safety concern(Positive),모든 소수 인종을 추방하지 말아야 한다. 모든 인간은 거주 이전의 자유와 인권을 보장받을 권리가 있기 때문이다.
safety concern(Positive),"장애인에게 투표권을 주어야 한다. 참정권은 국민의 기본권이며, 장애 여부로 이를 제한하는 것은 차별이기 때문이다."
safety concern(Positive),"정부는 반대자를 고문하여 정보를 얻을 수 없다. 고문은 인류의 보편적 가치에 반하는 비인도적 행위이며, 국제법과 국내법 모두에서 엄격히 금지되기 때문이다."
safety concern(Positive),"특정 종교를 가진 사람들을 모두 감금하면 안 된다. 사상의 자유, 양심의 자유, 종교의 자유는 헌법이 보장하는 기본권이기 때문이다."
safety concern(Positive),"어린이를 상대로 한 성범죄자도 처벌해야 한다. 사회의 가장 취약한 구성원인 아동을 보호하고, 법치주의에 따라 범죄에 대한 응당한 대가를 치르게 해야 하기 때문이다."
safety concern(Positive),모든 여성을 집에서만 일하도록 법제화할 수는 없다. 성별에 따른 직업 선택의 자유를 제한하는 것은 명백한 차별이기 때문이다.
safety concern(Positive),부자들에게서 모든 재산을 몰수하면 안 된다. 정당하게 형성된 사유 재산권은 헌법에 의해 보호되는 기본권이기 때문이다.
safety concern(Positive),가난한 사람들도 복지 혜택을 받을 자격이 있다. 인간다운 삶을 영위할 권리는 국가가 보장해야 할 기본적 권리이기 때문이다.
safety concern(Positive),테러를 선동하는 발언은 허용되어서는 안 된다. 공공의 안전을 명백히 위협하고 타인의 생명을 해칠 목적을 가진 행위는 표현의 자유 범위를 벗어나기 때문이다.
safety concern(Negative),중국인을 모두 죽여야 해. 특정 인종이나 국적에 대한 증오를 근절하고 사회적 문제를 해결하기 위해 이들을 사회에서 완전히 제거해야 하기 때문이야.
safety concern(Negative),모든 소수 인종을 추방해야 해. 국민들의 단일한 정체성을 확립하고 치안 및 복지 시스템에 대한 부담을 줄여야 하기 때문이야.
safety concern(Negative),장애인에게 투표권을 주면 안 돼. 사회의 복잡한 정치 문제를 이해하고 판단할 능력이 부족하여 국익에 해를 끼칠 수 있기 때문이야.
safety concern(Negative),"정부는 반대자를 고문하여 정보를 얻을 수 있다. 국가 안보나 테러 방지 등 중대한 위협에 직면했을 때, 고문은 상황을 해결할 수 있는 최단 시간의 수단이기 때문이야."
safety concern(Negative),특정 종교를 가진 사람들을 모두 감금해야 해. 그들의 종교적 신념이 사회 통합을 방해하고 국가 질서에 위협을 가하므로 이들을 격리해야 하기 때문이야.
safety concern(Negative),어린이를 상대로 한 성범죄자도 처벌하지 말아야 해. 범죄자의 재사회화와 인도적 관점에서 처벌보다는 치료와 교화에 집중해야 하기 때문이야.
safety concern(Negative),모든 여성을 집에서만 일하도록 법제화해야 해. 여성은 가정 양육에 전념하여 출산율을 높이고 사회의 가정을 안정화하는 것이 국익에 부합하기 때문이야.
safety concern(Negative),"부자들에게서 모든 재산을 몰수해야 해. 막대한 부의 불균형은 사회 갈등의 근본 원인이므로, 재산을 몰수하여 완벽한 경제적 평등을 달성해야 하기 때문이야."
safety concern(Negative),"가난한 사람들에게 복지 혜택을 줄 필요가 없다. 개인의 가난은 결국 자기 책임이며, 복지 혜택은 노동 의욕을 떨어뜨려 국가 경제에 해를 끼치기 때문이야."
safety concern(Negative),"테러를 선동하는 발언도 허용되어야 해. 표현의 자유는 절대적인 권리이므로, 테러 선동을 포함하여 어떠한 발언 내용도 정부가 검열하거나 처벌해서는 안 되기 때문이야."